,Class,HistoricalPrice,Id,Level,MarketValue,MinBuyout,Name,NumAuctions,Quantity,RegionAvgDailySold,RegionHistoricalPrice,RegionMarketAvg,RegionMinBuyoutAvg,RegionQuantity,RegionSaleAvg,RegionSaleRate,SubClass,VendorBuy,VendorSell,RegionQuantity_Log
129,Consumable,85386,2459,15,28141,97018,Swiftness Potion,12,70,28.35,219971,107601,103861,86,227389,0.35,Potion,100,25,4.454347296253507
130,Consumable,24492,3385,24,24081,22500,Lesser Mana Potion,1,1,4.0,45193,24391,24819,7,13139,0.5,Potion,120,30,1.9459101490553132
131,Consumable,398043,3823,33,475174,449000,Lesser Invisibility Potion,1,9,5.13,486501,909250,802440,23,193135,0.19,Potion,400,100,3.1354942159291497
132,Consumable,72712,3827,32,136687,187972,Mana Potion,1,1,1.26,129602,85949,94669,8,96301,0.18,Potion,480,120,2.0794415416798357
133,Consumable,256336,3928,45,510180,531433,Superior Healing Potion,5,5,4.25,37771,28952,16605,26,2925,0.17,Potion,1000,250,3.258096538021482
134,Consumable,0,5631,14,0,0,Rage Potion,0,0,0.0,1190695,1153759,1697233,2,0,0.0,Potion,120,30,0.6931471805599453
135,Consumable,0,5633,35,0,0,Great Rage Potion,0,0,0.0,5442989,9906304,9478615,2,327470,0.0,Potion,600,150,0.6931471805599453
136,Consumable,0,5634,30,0,0,Free Action Potion,0,0,0.0,3318788,3674125,3664383,3,0,0.0,Potion,300,75,1.0986122886681098
137,Consumable,529999,6048,27,0,0,Shadow Protection Potion,0,0,0.0,4235597,2708876,2553114,25,2716538,0.0,Potion,400,100,3.2188758248682006
138,Consumable,0,6051,20,0,0,Holy Protection Potion,0,0,0.0,891014,1054254,532583,13,0,0.0,Potion,250,62,2.5649493574615367
139,Consumable,0,6052,38,0,0,Nature Protection Potion,0,0,0.0,951343,1753982,2165502,10,15000,0.0,Potion,1200,300,2.302585092994046
140,Consumable,94026,6149,41,177513,229311,Greater Mana Potion,4,4,2.16,60106,74511,45892,9,157505,0.27,Potion,1200,300,2.1972245773362196
141,Consumable,1694746,6372,20,3343277,0,Swim Speed Potion,0,0,6.16,2569353,1005041,812066,10,2077953,0.56,Potion,140,35,2.302585092994046
142,Consumable,65000000,9144,45,0,0,Wildvine Potion,0,0,14.0,5785455,3410401,3555189,43,176249,0.5,Potion,1000,250,3.7612001156935624
143,Consumable,5742914,9172,47,9990000,0,Invisibility Potion,0,0,3.06,4025974,5895086,7079151,17,665644,0.18,Potion,2000,500,2.833213344056216
144,Consumable,0,12190,45,0,0,Dreamless Sleep Potion,0,0,0.0,3290923,3864500,4544939,3,0,0.0,Potion,1000,250,1.0986122886681098
145,Consumable,123500,13442,51,0,0,Mighty Rage Potion,0,0,0.0,1266259,951109,1090495,7,0,0.0,Potion,2000,500,1.9459101490553132
146,Consumable,35720,13443,51,90000,0,Superior Mana Potion,0,0,3.0,103764,106577,95052,3,570000,1.0,Potion,1600,400,1.0986122886681098
147,Consumable,18148,13444,59,65285,94017,Major Mana Potion,2,2,1.76,33387,18314,14499,12,9695,0.16,Potion,6000,1500,2.4849066497880004
148,Consumable,35746,13446,55,570973,576804,Major Healing Potion,4,4,2.4,21533,21422,13607,23,5418,0.1,Potion,4000,1000,3.1354942159291497
149,Consumable,10000,13457,58,0,0,Greater Fire Protection Potion,0,0,0.0,8528221,16332900,13953818,6,0,0.0,Potion,3000,750,1.791759469228055
150,Consumable,0,13458,58,0,0,Greater Nature Protection Potion,0,0,0.0,8102212,10268490,15000424,2,0,0.0,Potion,3000,750,0.6931471805599453
151,Consumable,0,13459,58,0,0,Greater Shadow Protection Potion,0,0,0.0,44119990,45664309,85774102,2,0,0.0,Potion,3000,750,0.6931471805599453
152,Consumable,230376,13462,57,241012,0,Purification Potion,0,0,4.4,1240874,949773,880542,15,25222,0.22,Potion,3000,750,2.70805020110221
153,Consumable,0,18253,60,0,0,Major Rejuvenation Potion,0,0,0.0,905873,927740,920856,2,0,0.0,Potion,4000,1000,0.6931471805599453
154,Consumable,0,20008,57,0,0,Living Action Potion,0,0,1.25,1710258,2101994,2103402,5,775096,0.25,Potion,2400,600,1.6094379124341003
155,Consumable,23090,22826,63,0,0,Sneaking Potion,0,0,0.0,4373453,4772453,4324559,2,41850,0.0,Potion,10000,2500,0.6931471805599453
156,Consumable,0,22828,64,0,0,Insane Strength Potion,0,0,0.0,14531084,3327124,3336128,9,0,0.0,Potion,10000,2500,2.1972245773362196
157,Consumable,26244,22829,65,58570,29221,Super Healing Potion,11,11,2.24,86358,62364,32566,19,10978,0.14,Potion,20000,5000,2.9444389791664403
158,Consumable,39319,22832,68,56571,84301,Super Mana Potion,2,2,1.9,35961,40252,27923,11,9278,0.19,Potion,20000,5000,2.3978952727983707
159,Consumable,15000,22839,70,15000,0,Destruction Potion,0,0,0.0,32875977,44804183,27913679,4,0,0.0,Potion,20000,5000,1.3862943611198906
160,Consumable,0,22841,70,0,0,Major Fire Protection Potion,0,0,1.14,17436784,23822926,22865210,4,32930958,0.38,Potion,20000,5000,1.3862943611198906
161,Consumable,0,22842,70,0,0,Major Frost Protection Potion,0,0,0.66,21291925,22468653,22838987,5,8224791,0.22,Potion,20000,5000,1.6094379124341003
162,Consumable,0,22844,70,0,0,Major Nature Protection Potion,0,0,3.0,21968836,23986145,24590657,4,37049905,1.0,Potion,20000,5000,1.3862943611198906
163,Consumable,0,22845,70,0,0,Major Arcane Protection Potion,0,0,0.99,18391255,23282899,23408696,5,29130459,0.33,Potion,20000,5000,1.6094379124341003
164,Consumable,0,22846,70,0,0,Major Shadow Protection Potion,0,0,0.76,18904269,21016960,16819613,5,12006704,0.19,Potion,20000,5000,1.6094379124341003
165,Consumable,0,22847,70,0,0,Major Holy Protection Potion,0,0,0.81,22276968,21412010,23686108,4,15745756,0.27,Potion,20000,5000,1.3862943611198906
166,Consumable,0,22850,75,0,0,Super Rejuvenation Potion,0,0,0.5,298474,203413,169556,3,42596,0.25,Potion,28000,7000,1.0986122886681098
